sku,name,type,category,subcat,active
P5077020FS,Fifty-Fifty Smooth - Raspberry Tart Nicotine Salt - PG - 20mg,Product,Labelled,Nicotine Salt,1
P5076620FS,Fifty-Fifty Smooth - Sweet tobacco Nicotine Salt - PG - 20mg,Product,Labelled,Nicotine Salt,1
P5094920FS,Fifty-Fifty Smooth - Black Ice Nicotine Salt - PG - 20mg,Product,Labelled,Nicotine Salt,1
P5094820FS,Fifty-Fifty Smooth - Menthol Nicotine Salt - PG - 20mg,Product,Labelled,Nicotine Salt,1
P5077120FS,Fifty-Fifty Smooth - The Crimson One Nicotine Salt - PG - 20mg,Product,Labelled,Nicotine Salt,1
P5076520FS,Fifty-Fifty Smooth - The Blue One Nicotine Salt - PG - 20mg,Product,Labelled,Nicotine Salt,1
SV11005058B,8-Bit - Watermelon Bubblegum - VG - SF,Product,Labelled,Shortfill,1
SV11006058B,8-Bit - Creamy Custard - VG - SF,Product,Labelled,Shortfill,1
SV11007058B,8-Bit - Strawberry Shortcake - VG - SF,Product,Labelled,Shortfill,1
SV6100905AD,Afternoon Delight - Lemon Drizzle Cake - VG - SF,Product,Labelled,Shortfill,1
SV6101005AD,Afternoon Delight - Peach and passion fruit - VG - SF,Product,Labelled,Shortfill,1
SV6101105AD,Afternoon Delight - Blueberry Muffin - VG - SF,Product,Labelled,Shortfill,1
SV7101204AM,American Dream - Lakota - VG - SF,Product,Labelled,Shortfill,1
SV7101304AM,American Dream - Great Plains - VG - SF,Product,Labelled,Shortfill,1
SV7101404AM,American Dream - Lumberjack - VG - SF,Product,Labelled,Shortfill,1
SV7101504AM,American Dream - Grizzly - VG - SF,Product,Labelled,Shortfill,1
SV9101605BF,Brain Freeze - Kool Blackcurrant mango - VG - SF,Product,Labelled,Shortfill,1
SV8101705BF,Brain Freeze - Lemon & Lime Koolada - VG - SF,Product,Labelled,Shortfill,1
SV9101805BF,Brain Freeze - Kool Blackcurrant Lychee - VG - SF,Product,Labelled,Shortfill,1
SV1101905BF,Brain Freeze - Kool Raspberry - VG - SF,Product,Labelled,Shortfill,1
SV8102105BF,Brain Freeze - Kool Apple - VG - SF,Product,Labelled,Shortfill,1
SV6102205DF,Brain Freeze Defrosted - Lemon & Lime - VG - SF,Product,Labelled,Shortfill,1
SV6102305DF,Brain Freeze Defrosted - Raspberry - VG - SF,Product,Labelled,Shortfill,1
SV6102405DF,Brain Freeze Defrosted - Blackcurrant mango - VG - SF,Product,Labelled,Shortfill,1
SV6102505DF,Brain Freeze Defrosted - Apple - VG - SF,Product,Labelled,Shortfill,1
SV6102605DF,Brain Freeze Defrosted - Blackcurrant Lychee - VG - SF,Product,Labelled,Shortfill,1
SV6102705CL,Candy Land - Pear Drops - VG - SF,Product,Labelled,Shortfill,1
SV6102805CL,Candy Land - Black Jack - VG - SF,Product,Labelled,Shortfill,1
SV6102905CL,Candy Land - Foam Banana - VG - SF,Product,Labelled,Shortfill,1
SV6103105CL,Candy Land - Cherry Tunes - VG - SF,Product,Labelled,Shortfill,1
SV6103205CL,Candy Land - Parma Violet - VG - SF,Product,Labelled,Shortfill,1
SV5103304CR,The Cedar Reserve - Blackcurrant lemonade - VG - SF,Product,Labelled,Shortfill,1
SV5103404CR,The Cedar Reserve - Apricot yogurt - VG - SF,Product,Labelled,Shortfill,1
SV5103504CR,The Cedar Reserve - Pineapple - VG - SF,Product,Labelled,Shortfill,1
SV5103604CR,The Cedar Reserve - Grape soda - VG - SF,Product,Labelled,Shortfill,1
SV5103704CR,The Cedar Reserve - Strawberry - VG - SF,Product,Labelled,Shortfill,1
SV5103804CR,The Cedar Reserve - Red One - VG - SF,Product,Labelled,Shortfill,1
SV5103904CR,The Cedar Reserve - Vanilla - VG - SF,Product,Labelled,Shortfill,1
SV6104005FC,Fair City Vapes - Blackcurrant Blush - VG - SF,Product,Labelled,Shortfill,1
SV6104105FC,Fair City Vapes - Raspberry Lemonade - VG - SF,Product,Labelled,Shortfill,1
SV6104205FC,Fair City Vapes - Tropical sparkle - VG - SF,Product,Labelled,Shortfill,1
SV6104305GC,Grand Canyon Iced Tea - Lemon iced tea - VG - SF,Product,Labelled,Shortfill,1
SV6104405GC,Grand Canyon Iced Tea - Mint iced tea - VG - SF,Product,Labelled,Shortfill,1
SV6104505GC,Grand Canyon Iced Tea - Peach iced tea - VG - SF,Product,Labelled,Shortfill,1
SV1105305CC,Crispy Cloud - Apple Cinnamon Doughnut - VG - SF,Product,Labelled,Shortfill,1
SV1105405CC,Crispy Cloud - Custard Doughnut - VG - SF,Product,Labelled,Shortfill,1
SV1105505CC,Crispy Cloud - Raspberry and Strawberry Jam Doughnut - VG - SF,Product,Labelled,Shortfill,1
SV5111704CR,The Cedar Reserve - The Blue One - VG - SF,Product,Labelled,Shortfill,1
SV6117310ZV,Z-Virus - Rainbow Candy - VG - SF,Product,Labelled,Shortfill,1
SV6117410ZV,Z-Virus - Pineapple and Coconut - VG - SF,Product,Labelled,Shortfill,1
SV6117510ZV,Z-Virus - Strawberry Cotton Candy - VG - SF,Product,Labelled,Shortfill,1
SV7117610ZV,Z-Virus - Key Lime Pie - VG - SF,Product,Labelled,Shortfill,1
P5124010FS,Fifty-Fifty Smooth - Peach & Passionfruit Nicotine Salts - PG - 10mg,Product,Labelled,Nicotine Salt,1
P5124020FS,Fifty-Fifty Smooth - Peach & Passionfruit Nicotine Salts - PG - 20mg,Product,Labelled,Nicotine Salt,1
P5124110FS,Fifty-Fifty Smooth - Blackcurrant Nicotine Salts - PG - 10mg,Product,Labelled,Nicotine Salt,1
P5124120FS,Fifty-Fifty Smooth - Blackcurrant Nicotine Salts - PG - 20mg,Product,Labelled,Nicotine Salt,1
P5123910FS,Fifty-Fifty Smooth - Cola Nicotine Salts - PG - 10mg,Product,Labelled,Nicotine Salt,1
P5123920FS,Fifty-Fifty Smooth - Cola Nicotine Salts - PG - 20mg,Product,Labelled,Nicotine Salt,1
SV6126505FS,Fifty-Fifty Smooth - Blue Raspberry - VG - SF,Product,Labelled,Shortfill,1
SV6126605FS,Fifty-Fifty Smooth - Black Ice - VG - SF,Product,Labelled,Shortfill,1
SV6126705FS,Fifty-Fifty Smooth - Forest Fruits - VG - SF,Product,Labelled,Shortfill,1
SV6126805FS,Fifty-Fifty Smooth - Banana Cream - VG - SF,Product,Labelled,Shortfill,1
P6128910ZS,Z-Virus Salt - Rainbow Candy Salt - PG - 10mg,Product,Labelled,Nicotine Salt,1
P6128920ZS,Z-Virus Salt - Rainbow Candy Salt - PG - 20mg,Product,Labelled,Nicotine Salt,1
P6128810ZS,Z-Virus Salt - Strawberry Cotton Candy Salt - PG - 10mg,Product,Labelled,Nicotine Salt,1
P6128820ZS,Z-Virus Salt - Strawberry Cotton Candy Salt - PG - 20mg,Product,Labelled,Nicotine Salt,1
P7128710ZS,Z-Virus Salt - Key Lime Pie Salt - PG - 10mg,Product,Labelled,Nicotine Salt,1
P7128720ZS,Z-Virus Salt - Key Lime Pie Salt - PG - 20mg,Product,Labelled,Nicotine Salt,1
P6128610ZS,Z-Virus Salt - Pineapple and Coconut Salt - PG - 10mg,Product,Labelled,Nicotine Salt,1
P6128620ZS,Z-Virus Salt - Pineapple and Coconut Salt - PG - 20mg,Product,Labelled,Nicotine Salt,1
P5076410FS,Fifty-Fifty Smooth - Banana cream Nicotine Salt - PG - 10mg,Product,Labelled,Nicotine Salt,1
P5076910FS,Fifty-Fifty Smooth - Forest fruits Nicotine Salt - PG - 10mg,Product,Labelled,Nicotine Salt,1
P5076810FS,Fifty-Fifty Smooth - Lemon Tart Nicotine Salt - PG - 10mg,Product,Labelled,Nicotine Salt,1
